id,firstName,lastName,team_name,market_value,agent,agent_id,contract_expiry
1167474,Keita ,Kobayashi,Roasso Kumamoto,-,,,30-Jun-27
621245,Ozawa,Nozomi,Albirex Niigata S,-,,,30-Jun-25
1155853,Ben,Harris,,-,,,-
593661,Joseph Mario,Vella,Xewkija Tigers,-,,,30-Jun-25
1156051,Joshua,Rabord,Marmande,-,,,-
1156060,William,Boucif,Marmande,-,,,-
986108,Bruyere,Theo,Nice U19,-,,,-
932651,Paris Gregory,Papastylianou,Pafos U19,-,,,-
1169527,Jun-young,Yang,, ¬75k,,,-
1156780,Reda ,Lakhdar,,-,,,30-Jun-25
1182924,Archibald,Black,KÍ II,-,,,-
1164723,Charalampos,Christou,,-,,,-
1167374,Shuta ,Sasa,Imabari,-,World in Motion,1061,30-Jun-28
1148555,Mher,Harutyunyan,Shirak II,-,Agent is known - Player under 18,,-
1158825,Kevin ,Castillo,Achuapa,-,,,-
1170045,Young-been,Yang,Chungbuk Cheongju, ¬50k,The Wero,9210,-
1171373,Ki,Hyen Kim,Chuncheon,-,no agent,,-
1169948,Byeong-jin ,Jun,Seoul Jungnang,-,,,-
1157316,Lucas ,Morrison,Rosemount Rec,-,,,30-Jun-25
1157346,Darren ,Smyth,,-,,,30-Jun-25
1012286,Muhammadjon,Mirahmadov,Ravshan,-,,,31-Dec-25
1170635,Niccolò,Giangreco,Genoa U18,-,,,-
551598,Giovanni,Mason Ribeiro,,-,,,-
1012099,Joshua,Radcliffe,Heart of Midlothian FC U19,-,,,31-May-26
1167462, Kaito ,Nagatomo,Tegevajaro Miyazaki,-,,,30-Jun-27
1157771,Iheb,El Abed,AS Soliman, ¬75k,,,30-Jun-25
